song names
Death Of A Hero - Alec Benjamin
"Free Fallin' - Live at the Nokia Theatre, Los Angeles, CA - December 2007 - John Mayer"
All I Want - Kodaline
Abar Phire Ele - Arijit Singh
Superhero - Lauv
Summer Of '69 - Bryan Adams
Udd Gaye - Bacardi House Party Sessions - Ritviz
Falling Like The Stars - James Arthur
High Hopes - Kodaline
lovely (with Khalid) - Billie Eilish
There's No Way (feat. Julia Michaels) - Lauv
Without You (feat. Sandro Cavazza) - Avicii
"Taki Taki (with Selena Gomez, Ozuna & Cardi B) - DJ Snake"
All I Want - Kodaline
Just You and I - Acoustic - Tom Walker
Hai Pyaar Kya - Jubin Nautiyal
broken - lovelytheband
Ocean - Anuv Jain
Hey There Delilah - Plain White T's
Birds (feat. Elisa) - Imagine Dragons
Burn Out (feat. Dewain Whitmore) - Martin Garrix
comethru - Jeremy Zucker
Treat You Better - Shawn Mendes
The One - Kodaline
She Will Be Loved - Maroon 5
Let Her Go - Passenger
Fix You - Coldplay
Follow Your Fire - Kodaline
Cold Water (feat. Justin Bieber & MØ) - Major Lazer
Say You Won't Let Go - James Arthur
Girls Like You - Maroon 5
Amake Amar Moto Thakte Dao - Anupam Roy
Be Alright - Dean Lewis
Electricity (with Dua Lipa) - Silk City
Love Someone - Lukas Graham
